Ems_loss_v: 0.001993546	ST_loss: 31.584095001	LT_loss: 18.453535080	loss: 0.002043583
Ems_loss_v: 0.002027084	ST_loss: 21.157712936	LT_loss: 15.821880341	loss: 0.002064064
Ems_loss_v: 0.002105121	ST_loss: 24.175756454	LT_loss: 20.352848053	loss: 0.002149649
Ems_loss_v: 0.002243382	ST_loss: 21.631547928	LT_loss: 3.366277933	loss: 0.002268380
Ems_loss_v: 0.002739617	ST_loss: 26.013538361	LT_loss: 26.062732697	loss: 0.002791693
Ems_loss_v: 0.002858289	ST_loss: 22.999938965	LT_loss: 26.229141235	loss: 0.002907518
Ems_loss_v: 0.003130483	ST_loss: 30.186431885	LT_loss: 25.534822464	loss: 0.003186204
Ems_loss_v: 0.002410077	ST_loss: 28.792385101	LT_loss: 20.683135986	loss: 0.002459552
Ems_loss_v: 0.002693653	ST_loss: 27.024356842	LT_loss: 17.985185623	loss: 0.002738662
Ems_loss_v: 0.002524623	ST_loss: 29.676584244	LT_loss: 33.575019836	loss: 0.002587874
Ems_loss_v: 0.002149465	ST_loss: 34.570564270	LT_loss: 37.378646851	loss: 0.002221414
Ems_loss_v: 0.002885459	ST_loss: 25.301284790	LT_loss: 32.727603912	loss: 0.002943488
Ems_loss_v: 0.002285442	ST_loss: 32.661338806	LT_loss: 31.761573792	loss: 0.002349865
Ems_loss_v: 0.002222451	ST_loss: 18.764188766	LT_loss: 2.402558327	loss: 0.002243618
Ems_loss_v: 0.002109184	ST_loss: 23.014110565	LT_loss: 37.010845184	loss: 0.002169209
Ems_loss_v: 0.002761083	ST_loss: 23.392204285	LT_loss: 3.049857616	loss: 0.002787525
Ems_loss_v: 0.002362630	ST_loss: 31.993186951	LT_loss: 32.297428131	loss: 0.002426921
Ems_loss_v: 0.001945671	ST_loss: 23.293767929	LT_loss: 26.243621826	loss: 0.001995209
Ems_loss_v: 0.002723965	ST_loss: 24.393852234	LT_loss: 33.998958588	loss: 0.002782358
Ems_loss_v: 0.002268244	ST_loss: 28.751724243	LT_loss: 31.950923920	loss: 0.002328946
Ems_loss_v: 0.002355730	ST_loss: 24.122543335	LT_loss: 26.698886871	loss: 0.002406552
Ems_loss_v: 0.002594493	ST_loss: 30.772285461	LT_loss: 33.165634155	loss: 0.002658431
Ems_loss_v: 0.002252452	ST_loss: 26.701702118	LT_loss: 5.230555534	loss: 0.002284384
Ems_loss_v: 0.002189498	ST_loss: 21.896812439	LT_loss: 26.979541779	loss: 0.002238374
Ems_loss_v: 0.002117782	ST_loss: 22.924976349	LT_loss: 5.684271336	loss: 0.002146392
Ems_loss_v: 0.002844233	ST_loss: 22.952522278	LT_loss: 19.676219940	loss: 0.002886862
